,name,startdate,enddate,location_01,location_02
212,안성빙어축제,2017-12-23,2018-02-18,경기,안성시
213,청평 얼음꽃 송어 축제,2017-12-23,2018-02-25,경기,가평군
214,강화도 송어 빙어 축제,2017-12-23,2018-03-04,인천,강화군
215,양주송어축제,2017-12-22,2018-02-25,경기,양주시
216,강화도 빙어 송어 축제,2017-12-15,2018-02-28,인천,강화군
217,대관령 눈꽃축제,2018-02-07,2018-02-25,강원,평창군
218,태백산눈축제,2018-01-19,2018-02-11,강원,태백시
219,포천 백운계곡 동장군축제,2017-12-30,2018-01-28,경기,포천시
220,지리산 남원 바래봉 눈꽃축제,2017-12-30,2018-02-11,전북,남원시
221,부곡하와이 얼음조각축제,2016-12-24,2017-01-30,경남,창녕군
222,칠갑산얼음분수축제,2017-12-23,2018-02-18,충남,청양군
